Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
98,Bugey-5,45.800000,5.267000,France,FR,Operational,PWR,CP0,07-01-74,01-03-80,,900,5/24/15 7:50,WNA/IAEA,168
99,Bushehr-1,28.831000,50.887000,Iran,IR,Operational,PWR,VVER V-446,05-01-75,09-23-13,,915,5/24/15 7:51,WNA/IAEA,310
100,Bushehr-2,28.828700,50.889500,Iran,IR,Under Construction,PWR,V-528 VVER-1000 AES-92 GIII+,09-27-19,,,974,4/18/20 7:46,WNA/IAEA,311
101,Bushehr-3,28.830500,50.887200,Iran,IR,Planned,,,,,,,,WNA,
102,Bushehr-4,28.830500,50.887200,Iran,IR,Planned,,,,,,,,WNA,
103,Byron-1,42.074000,-89.277000,United States,US,Operational,PWR,WH 4LP (DRYAMB),04-01-75,09-16-85,,1120,2/11/17 1:59,WNA/IAEA,735
104,Byron-2,42.074000,-89.277000,United States,US,Operational,PWR,WH 4LP (DRYAMB),04-01-75,08-02-87,,1120,2/11/17 1:59,WNA/IAEA,736
105,Calder Hall-1,54.420000,-3.491000,United Kingdom,GB,Shutdown,GCR,MAGNOX,08-01-53,10-01-56,03-31-03,35,5/24/15 7:51,WNA/IAEA,231
106,Calder Hall-2,54.420000,-3.491000,United Kingdom,GB,Shutdown,GCR,MAGNOX,08-01-53,02-01-57,03-31-03,35,5/24/15 7:51,WNA/IAEA,232
107,Calder Hall-3,54.420000,-3.491000,United Kingdom,GB,Shutdown,GCR,MAGNOX,08-01-55,05-01-58,03-31-03,35,5/24/15 7:51,WNA/IAEA,233
108,Calder Hall-4,54.420000,-3.491000,United Kingdom,GB,Shutdown,GCR,MAGNOX,08-01-55,04-01-59,03-31-03,35,5/24/15 7:51,WNA/IAEA,234
109,Callaway-1,38.763000,-91.781000,United States,US,Operational,PWR,WH 4LP (DRYAMB),09-01-75,12-19-84,,1171,2/11/17 1:59,WNA/IAEA,752
110,Calvert Cliffs-1,38.435000,-76.439000,United States,US,Operational,PWR,CE 2LP (DRYAMB),06-01-68,05-08-75,,845,2/11/17 1:58,WNA/IAEA,655
111,Calvert Cliffs-2,38.435000,-76.439000,United States,US,Operational,PWR,CE 2LP (DRYAMB),06-01-68,04-01-77,,845,2/11/17 1:58,WNA/IAEA,656
112,Caorso,45.072000,9.872000,Italy,IT,Shutdown,BWR,BWR-4 (Mark 2),01-01-70,12-01-81,07-01-90,840,5/24/15 7:51,WNA/IAEA,327
113,CAREM25,-33.966667,-59.211111,Argentina,AR,Under Construction,PWR,CAREM Prototype (Integrated-PWR),08-25-15,,,25,4/21/22 23:26,IAEA,1055
114,Carolinas CVTR,34.263000,-81.330000,United States,US,Shutdown,PHWR,Prototype,01-01-60,12-18-63,01-10-67,17,2/11/17 1:57,WNA/IAEA,600
115,Catawba-1,35.053000,-81.071000,United States,US,Operational,PWR,WH 4LP (ICECND),05-01-74,06-29-85,,1145,2/11/17 1:59,WNA/IAEA,713
116,Catawba-2,35.053000,-81.071000,United States,US,Operational,PWR,WH 4LP (ICECND),05-01-74,08-19-86,,1145,2/11/17 1:59,WNA/IAEA,714
117,Cattenom-1,49.416000,6.217000,France,FR,Operational,PWR,P4 REP 1300,10-29-79,04-01-87,,1300,5/24/15 7:51,WNA/IAEA,207
118,Cattenom-2,49.416000,6.217000,France,FR,Operational,PWR,P4 REP 1300,07-28-80,02-01-88,,1300,5/24/15 7:51,WNA/IAEA,210
119,Cattenom-3,49.416000,6.217000,France,FR,Operational,PWR,P4 REP 1300,06-15-82,02-01-91,,1300,5/24/15 7:51,WNA/IAEA,218
120,Cattenom-4,49.416000,6.217000,France,FR,Operational,PWR,P4 REP 1300,09-28-83,01-01-92,,1300,5/24/15 7:51,WNA/IAEA,223
121,CEFR (China Experimental Fast Reactor),39.739000,116.030000,China,CN,Operational,FBR,BN-20,05-10-00,,,20,06-12-21,WNA/IAEA,1047
